id,stock_code,stock_name,price
558,189860,서전기전,6210
559,178320,서진시스템,14750
560,122690,서진오토모티브,3200
561,140070,서플러스글로벌,2580
562,11370,서한,1025
563,65710,서호전기,18000
564,35890,서희건설,1140
565,357550,석경에이티,22950
566,3100,선광,112200
567,67370,선바이오,9610
568,171090,선익시스템,14000
569,86710,선진뷰티사이언스,5450
570,14620,성광벤드,13750
571,37350,성도이엔지,4790
572,81580,성우전자,2890
573,45300,성우테크론,4075
574,15750,성우하이텍,5270
575,365340,성일하이텍,128500
576,80470,성창오토텍,7090
577,43260,성호전자,1380
578,148150,세경하이테크,11650
579,53060,세동,1095
580,340440,세림B&G,2520
581,17510,세명전기,3030
582,11560,세보엠이씨,7450
583,396300,세아메카닉스,5220
584,100700,세운메디칼,2815
585,24830,세원물산,6280
586,258830,세종메디칼,3445
587,36630,세종텔레콤,677
588,39310,세중,2495
589,67770,세진티에스,3025
590,53450,세코닉스,5420
591,222810,세토피아,1295
592,252500,세화피앤씨,1060
593,347000,센코,12150
594,331920,셀레믹스,6500
595,49180,셀루메드,4440
596,299660,셀리드,15550
597,268600,셀리버리,12500
598,108860,셀바스AI,5300
599,208370,셀바스헬스케어,2035
600,68760,셀트리온제약,67700
601,91990,셀트리온헬스케어,69000
602,68940,셀피글로벌,1880
603,60230,소니드,3880
604,290690,소룩스,7350
605,950200,소마젠,6880
606,32680,소프트센,1525
607,32685,소프트센우,20900
608,258790,소프트캠프,1490
609,66910,손오공,1795
610,43100,솔고바이오,543
611,154040,솔루에타,2755
612,35610,솔본,3590
613,357780,솔브레인,204000
614,36830,솔브레인홀딩스,23300
615,304100,솔트룩스,6760
616,328380,솔트웨어,1600
617,86980,쇼박스,3315
618,50960,수산아이앤티,10900
619,253840,수젠텍,10550
620,236200,슈프리마,24500
621,317770,슈프리마아이디,14650
622,94840,슈프리마에이치큐,5320
623,192440,슈피겐코리아,33000
624,136510,스마트솔루션즈,11600
625,99440,스맥,1655
626,33790,스카이문스테크놀로지,829
627,276040,스코넥,10250
628,159910,스킨앤스킨,231
629,115570,스타플렉스,5490
630,330730,스톤브릿지벤처스,4545
631,253450,스튜디오드래곤,68500
632,204630,스튜디오산타클로스,7000
633,13810,스페코,5650
634,49830,승일,12250
635,20710,시공테크,4395
636,33170,시그네틱스,1200
637,48870,시너지이노베이션,3220
638,25320,시노펙스,2630
639,269620,시스웍,889
640,131090,시큐브,1070
641,139050,시티랩스,630
642,290520,신도기연,5040
643,1000,신라섬유,1880
644,25870,신라에스지,7960
645,215600,신라젠,10700
646,65350,신성델타테크,9920
647,2800,신신제약,5030
648,344050,신영스팩6호,2590
649,419270,신영스팩7호,2035
650,430220,신영스팩8호,2015
651,17000,신원종합개발,4550
652,12790,신일제약,8070
653,138070,신진에스엠,2885
654,226330,신테카바이오,8100
655,418210,신한제10호스팩,2020
656,366330,신한제7호스팩,2045
657,393360,신한제8호스팩,2015
658,405640,신한제9호스팩,2015
659,56700,신화인터텍,3060
660,187270,신화콘텍,5270
661,243840,신흥에스이씨,50700
662,257720,실리콘투,2215
663,222800,심텍,34300
664,36710,심텍홀딩스,3490
665,160980,싸이맥스,12250
666,356890,싸이버원,9100
667,217330,싸이토젠,19000
668,10280,쌍용정보통신,772
669,208640,썸에이지,829
670,222420,쎄노텍,1790
671,37760,쎄니트,1800
672,99320,쎄트렉아이,25500
673,49960,쎌바이오텍,11600
674,50890,쏠리드,4530
675,66790,씨씨에스,598
676,222080,씨아이에스,13100
677,352480,씨앤씨인터내셔널,23700
678,264660,씨앤지하이테크,11500
679,352700,씨앤투스성진,4850
680,297090,씨에스베어링,7330
681,359090,씨엔알리서치,1430
682,115530,씨엔플러스,548
683,115480,씨유메디칼,1155
684,376290,씨유테크,4245
685,189330,씨이랩,10200
686,96530,씨젠,30500
687,900120,씨케이에이치,215
688,101240,씨큐브,6700
689,60590,씨티씨바이오,6790
690,260930,씨티케이,5080
691,13990,아가방컴퍼니,3255
692,123860,아나패스,24650
693,25980,아난티,5440
694,58220,아리온,275
695,125210,아모그린텍,15050
696,357580,아모센스,12050
697,52710,아모텍,21950
698,74430,아미노로직스,1910
699,92040,아미코젠,19000
700,83930,아바코,16800
701,149950,아바텍,19500
702,36010,아비코전자,11000
703,50860,아세아텍,2620
704,136410,아셈스,11200
705,246720,아스타,3260
706,67390,아스트,4270
707,159010,아스플로,9400
708,127710,아시아경제,1585
709,154030,아시아종묘,3250
710,227610,아우딘퓨쳐스,2395
711,143160,아이디스,22500
712,54800,아이디스홀딩스,11050
713,332370,아이디피,4630
714,339950,아이비김영,1890
715,99190,아이센스,33750
716,289010,아이스크림에듀,4225
717,214430,아이쓰리시스템,16550
718,40910,아이씨디,8670
719,368600,아이씨에이치,20150
720,52860,아이앤씨,2620
721,69920,아이에스이커머스,7380
722,38880,아이에이,696
723,307180,아이엘사이언스,2845
724,101390,아이엠,6000
725,78860,아이오케이,470
726,90150,아이윈,1550
727,123010,아이윈플러스,510
728,31310,아이즈비전,2480
729,185490,아이진,6400
730,59100,아이컴포넌트,6330
731,262840,아이퀘스트,6780
732,175250,아이큐어,4000
733,52460,아이크래프트,2485
734,119830,아이텍,8060
735,52770,아이톡시,2085
736,124500,아이티센,3820
737,372800,아이티아이즈,8550
738,84850,아이티엠반도체,28650
739,114840,아이패밀리에스씨,9300
740,27360,아주IB투자,2565
741,32080,아즈텍WB,1940
742,13310,아진산업,2745
743,59120,아진엑스텍,8730
744,158430,아톤,25700
745,67160,아프리카TV,70900
746,1540,안국약품,8440
747,53800,안랩,62300
748,65660,안트로젠,15500
749,297570,알로이스,1470
750,260660,알리코제약,5200
751,361570,알비더블유,12500
752,131370,알서포트,4200
753,140670,알에스오토메이션,12350
754,96610,알에프세미,2235
755,61040,알에프텍,4440
756,148250,알엔투테크놀로지,9250
757,347860,알체라,10300
758,196170,알테오젠,36900
759,123750,알톤스포츠,3650
760,85810,알티캐스트,2075
761,117670,알파홀딩스,1055
762,314140,알피바이오,11600
763,291650,압타머사이언스,8820
764,293780,압타바이오,15050
765,196300,애니젠,7640
766,310200,애니플러스,2850
767,179530,애드바이오텍,3480
768,900100,애머릿지,2475
769,205500,액션스퀘어,3240
770,52790,액토즈소프트,6650
771,290740,액트로,6250
772,238090,앤디포스,5400
773,92600,앤씨앤,1730
774,129890,앱코,6910
775,174900,앱클론,16150
776,255440,야스,6950
777,30960,양지사,44550
778,102120,어보브반도체,10050
779,263540,어스앤에어로스페이스,10900
780,238120,얼라인드,7560
781,19990,에너토크,7760
782,270660,에브리봇,15100
783,38680,에스넷,4685
784,217480,에스디생명공학,1695
785,121890,에스디시스템,739
786,97780,에스맥,1755
787,389500,에스비비테크,24600
788,42110,에스씨디,1555
789,298060,에스씨엠생명과학,5510
790,65420,에스아이리소스,686
791,103230,에스앤더블류,2505
792,260970,에스앤디,17600
793,101490,에스앤에스텍,24400
794,95910,에스에너지,3640
795,275630,에스에스알,6590
796,31330,에스에이엠티,2645
797,60540,에스에이티,2095
798,351320,에스에이티이엔지,2625
799,56190,에스에프에이,38200
800,80000,에스엔유,2395
801,214310,에스엘바이오닉스,356
802,41510,에스엠,65100
803,7820,에스엠코어,5380
804,109610,에스와이,3105
805,306040,에스제이그룹,16100
806,408920,에스케이증권7호스팩,2185
807,435870,에스케이증권제8호스팩,2045
808,96630,에스코넥,875
809,69510,에스텍,7500
810,41910,에스텍파마,7310
811,234300,에스트래픽,3900
812,39440,에스티아이,13400
813,98660,에스티오,3700
814,52020,에스티큐브,21800
815,237690,에스티팜,75100
816,50760,에스폴리텍,2565
817,288620,에스퓨얼셀,20000
818,317830,에스피시스템스,8490
819,58610,에스피지,16700
820,43340,에쎈테크,864
821,187660,에이디엠코리아,2225
822,54630,에이디칩스,263
823,200710,에이디테크놀로지,16050
824,96690,에이루트,525
825,298380,에이비엘바이오,19700
826,203400,에이비온,6910
827,195990,에이비프로바이오,528
828,3800,에이스침대,34800
829,88800,에이스테크,5080
830,241840,에이스토리,20450
831,312610,에이에프더블류,4170
832,72990,에이치시티,7940
833,227100,에이치앤비디자인,4930
834,239610,에이치엘사이언스,18350
835,353070,에이치엠씨제4호스팩,2010
836,353060,에이치엠씨제5호스팩,2010
837,148930,에이치와이티씨,12950
838,44780,에이치케이,1760
839,357230,에이치피오,7760
840,71670,에이테크솔루션,9490
841,45660,에이텍,9240
842,224110,에이텍티앤,11400
843,230980,에이트원,975
844,21080,에이티넘인베스트,2750
845,89530,에이티세미콘,1630
846,200470,에이팩트,4680
847,262260,에이프로,16900
848,109960,에이프로젠 H&G,405
849,397030,에이프릴바이오,14200
850,89970,에이피티씨,13700
851,230240,에치에프알,30000
852,230360,에코마케팅,13850
853,38870,에코바이오,5270
854,128540,에코캡,4800
855,86520,에코프로,134600
856,247540,에코프로비엠,109700
857,383310,에코프로에이치엔,50200
858,38110,에코플라스틱,3140
859,73540,에프알텍,2810
860,64850,에프앤가이드,6150
861,64090,에프앤리퍼블릭,2170
862,36810,에프에스티,13300
863,173940,에프엔씨엔터,4670
864,83500,에프엔에스테크,7470
865,54940,엑사이엔씨,1375
866,43090,엑서지21,3605
867,950130,엑세스바이오,13400
868,205100,엑셈,3630
869,70300,엑스큐어,4070
870,92870,엑시콘,9130
871,317870,엔바이오니아,5190
872,67570,엔브이에이치코리아,3400
873,236810,엔비티,4325
874,333620,엔시스,12700
875,101400,엔시트론,619
876,217820,엔에스,8780
877,31860,엔에스엔,978
878,391060,엔에이치스팩20호,2010
879,396770,엔에이치스팩22호,2190
880,422040,엔에이치스팩23호,2015
881,437780,엔에이치스팩24호,2035
882,265740,엔에프씨,8020
883,354200,엔젠바이오,7980
884,208860,엔지스테크널러지,2205
885,183490,엔지켐생명과학,1860
886,182400,엔케이맥스,15200
887,348370,엔켐,73600
888,69410,엔텔스,5390
889,227950,엔투텍,719
890,291230,엔피,4645
891,198080,엔피디,2135
892,48830,엔피케이,1780
893,96870,엘디티,3900
894,376190,엘비루셈,7060
895,61970,엘비세미콘,8000
896,138690,엘아이에스,982
897,290650,엘앤씨바이오,25200
898,66970,엘앤에프,216000
899,156100,엘앤케이바이오,10050
900,73110,엘엠에스,6920
901,83310,엘오티베큠,10350
902,37950,엘컴텍,892
903,170920,엘티씨,9670
904,58630,엠게임,6410
905,58970,엠로,12850
906,19590,엠벤처투자,1265
907,169330,엠브레인,3100
908,179290,엠아이텍,12300
909,9780,엠에스씨,5410
910,123040,엠에스오토텍,3995
911,323230,엠에프엠코리아,783
912,33160,엠케이전자,10500
913,347890,엠투아이,8060
914,33310,엠투엔,5510
915,259630,엠플러스,13600
916,65150,엠피대산,402
917,50540,엠피씨플러스,822
918,115960,연우,12950
919,60850,영림원소프트랩,7980
920,7530,영신금속,2610
921,143540,영우디에스피,1460
922,112290,영창케미칼,11950
923,36560,영풍정밀,11500
924,265560,영화테크,10450
925,36000,예림당,1630
926,250930,예선테크,1290
927,53280,예스24,5360
928,122640,예스티,8200
929,900300,오가닉티코스메틱,244
930,45060,오공,3205
931,80520,오디텍,5210
932,39830,오로라,7790
933,322310,오로스테크놀로지,10500
934,46120,오르비텍,4670
935,14940,오리엔탈정공,2750
936,65500,오리엔트정공,1525
937,10470,오리콤,6960
938,352910,오비고,7900
939,53980,오상자이엘,4330
940,52420,오성첨단소재,2230
941,241790,오션브릿지,13350
942,39200,오스코텍,17300
943,226400,오스테오닉,2405
944,31510,오스템,1485
945,48260,오스템임플란트,104900
946,368970,오에스피,7150
947,138080,오이솔루션,15950
948,80580,오킨스전자,18050
949,67170,오텍,5600
950,353590,오토앤,11550
951,173130,오파스넷,7010
952,49480,오픈베이스,2500
